2023-10-12 00:03:48.172 [XNIO-1 task-2] WARN  o.s.w.s.mvc.support.DefaultHandlerExceptionResolver.logException:207 - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content-Type 'application/x-www-form-urlencoded;charset=UTF-8' is not supported]
2023-10-12 00:04:05.147 [XNIO-1 task-2] WARN  o.s.w.s.mvc.support.DefaultHandlerExceptionResolver.logException:207 - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content-Type 'application/x-www-form-urlencoded;charset=UTF-8' is not supported]
2023-10-12 00:04:40.078 [XNIO-1 task-2] WARN  o.s.w.s.mvc.support.DefaultHandlerExceptionResolver.logException:207 - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content-Type 'application/x-www-form-urlencoded;charset=UTF-8' is not supported]
2023-10-12 02:18:36.238 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 02:18:36.239 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 02:18:36.882 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 02:18:39.551 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 02:21:30.459 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 02:21:30.460 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 02:21:31.141 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 02:21:34.120 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 02:23:33.196 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 02:23:33.197 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 02:23:33.834 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 02:23:36.716 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 02:30:31.535 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 02:30:31.536 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 02:30:32.372 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 02:30:35.106 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 14:58:12.726 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 14:58:12.728 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 14:58:13.597 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 14:58:16.672 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 16:26:04.157 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:26:04.158 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:26:04.788 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 16:26:07.472 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 16:31:46.051 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:31:46.053 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:31:47.933 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 16:31:50.665 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 16:42:11.706 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:42:11.707 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:42:12.334 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 16:42:15.232 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 16:49:25.421 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:49:25.422 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:49:26.077 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 16:49:29.032 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 16:53:11.823 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:53:11.824 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:53:12.583 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2023-10-12 16:53:16.024 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration.checkTemplateLocationExists:67 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.check-template-location=false)
2023-10-12 16:57:10.367 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:57:10.369 [main] WARN  o.s.core.LocalVariableTableParameterNameDiscoverer.inspectClass:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: lab.base.util.aspect.LogAspect
2023-10-12 16:57:10.997 [main] WARN  io.undertow.websockets.jsr.handleDeployment:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
